time,value
0.0,-112286
0.0019230769230769232,-90522
0.0038461538461538464,-81373
0.0057692307692307696,-77019
0.007692307692307693,-76716
0.009615384615384616,-76787
0.011538461538461539,-64137
0.013461538461538462,-38050
0.015384615384615385,-17217
0.01730769230769231,-20213
0.019230769230769232,-37281
0.021153846153846155,-51743
0.023076923076923078,-57958
0.025,-52792
0.026923076923076925,-41589
0.028846153846153848,-31897
0.03076923076923077,-26553
0.032692307692307694,-30286
0.03461538461538462,-37256
0.03653846153846154,-31307
0.038461538461538464,-13941
0.04038461538461539,-1733
0.04230769230769231,-2894
0.04423076923076923,-8933
0.046153846153846156,-10676
0.04807692307692308,-10167
0.05,-10531
0.051923076923076926,-13010
0.05384615384615385,-21227
0.05576923076923077,-36644
0.057692307692307696,-48090
0.05961538461538462,-42661
0.06153846153846154,-28165
0.06346153846153846,-16585
0.06538461538461539,-9171
0.0673076923076923,-6197
0.06923076923076923,-4771
0.07115384615384615,452
0.07307692307692308,7228
0.075,6400
0.07692307692307693,2038
0.07884615384615384,2036
0.08076923076923077,499
0.08269230769230769,-6598
0.08461538461538462,-18184
0.08653846153846154,-23274
0.08846153846153847,-11443
0.09038461538461538,2512
0.09230769230769231,5545
0.09423076923076923,6786
0.09615384615384616,20195
0.09807692307692308,41263
0.1,48690
0.10192307692307692,42481
0.10384615384615385,28135
0.10576923076923077,-429
0.1076923076923077,-28759
0.10961538461538461,-35580
0.11153846153846154,-17136
0.11346153846153846,8616
0.11538461538461539,23832
0.11730769230769231,32419
0.11923076923076924,32594
0.12115384615384615,24539
0.12307692307692308,22081
0.125,25970
0.12692307692307692,28125
0.12884615384615383,25211
0.13076923076923078,22461
0.1326923076923077,30590
0.1346153846153846,42414
0.13653846153846153,35046
0.13846153846153847,11844
0.14038461538461539,-40
0.1423076923076923,8664
0.14423076923076922,27895
0.14615384615384616,45102
0.14807692307692308,49400
0.15,38488
0.1519230769230769,19505
0.15384615384615385,1975
0.15576923076923077,-8306
0.1576923076923077,-6848
0.1596153846153846,5666
0.16153846153846155,17014
0.16346153846153846,26132
0.16538461538461538,41059
0.1673076923076923,51561
0.16923076923076924,40182
0.17115384615384616,15876
0.17307692307692307,5496
0.175,8273
0.17692307692307693,11993
0.17884615384615385,20536
0.18076923076923077,31219
0.18269230769230768,32497
0.18461538461538463,23135
